APN,MISSING_GEOMETRY,DUPLICATE_APN,OUT_OF_DATE,INVALID_APN,INVALID_ACREAGE,INVALID_GEOMETRY,EMPTY_GEOMETRY,ISSUE_COUNT
809150005,False,False,True,False,False,False,False,1
809150006,False,False,True,False,False,False,False,1
809080009,False,False,True,False,False,False,False,1
809090006,False,False,True,False,False,False,False,1
809120013,False,False,True,False,False,False,False,1
809120012,False,False,True,False,False,False,False,1
809120007,False,False,True,False,False,False,False,1
809110007,False,False,True,False,False,False,False,1
809120016,False,False,True,False,False,False,False,1
809120017,False,False,True,False,False,False,False,1
809120022,False,False,True,False,False,False,False,1
809120023,False,False,True,False,False,False,False,1
809130009,False,False,True,False,False,False,False,1
809130007,False,False,True,False,False,False,False,1
809130002,False,False,True,False,False,False,False,1
809130001,False,False,True,False,False,False,False,1
809222001,False,False,True,False,False,False,False,1
809150011,False,False,True,False,False,False,False,1
809142003,False,False,True,False,False,False,False,1
809142002,False,False,True,False,False,False,False,1
